# !!! ------------------------------- NOTE!! --------------------------------- !!!
# !!! THESE COMPOUNDS ARE READ FROM THE DEFINITION FILE, NOT KPP OUTPUT. THIS  !!!
# !!! MEANS THAT THE NUMBER OF COMPOUNDS MAY BE MORE THAN IS ACTUALLY IN THE   !!!
# !!! SCHEME. ALSO, THE ORDER OF COMPOUNDS IS _NOT_ THE SAME AS THE INDICES IN !!!
# !!! CHEMISTRY. THE INFORMATION IN THIS FILE SHOULD BE USED IN A DICTIONARY.  !!! 
# If all atoms are zero, scheme definition had IGNORE in elemental composition
# name                         mass          C  H  O  N  S Cl Br  I  is_Radical
CO3C4CHO                       100.11700000  5  8  2  0  0  0  0  0   0
HO3C4CO3                       133.12300000  5  9  4  0  0  0  0  0   1
C5PAN8                         179.12800000  5  9  6  1  0  0  0  0   0
HO3C4CO3H                      134.13100000  5 10  4  0  0  0  0  0   0
HO3C3CHO                        88.10600000  4  8  2  0  0  0  0  0   0
HO1CO34C5                      116.11600000  5  8  3  0  0  0  0  0   0
CO23C4CHO                      114.10000000  5  6  3  0  0  0  0  0   0
BIACETO2                       117.08000000  4  5  4  0  0  0  0  0   1
HCOCH2CO3                      103.05300000  3  3  4  0  0  0  0  0   1
CO23C4CO3                      145.09000000  5  5  5  0  0  0  0  0   1
C5PAN9                         191.09500000  5  5  7  1  0  0  0  0   0
CO23C4CO3H                     146.09800000  5  6  5  0  0  0  0  0   0
CO23C3CHO                      100.07300000  4  4  3  0  0  0  0  0   0
HEXBO                          101.16900000  6 13  1  0  0  0  0  0   0
HEXBNO3                        147.17400000  6 13  3  1  0  0  0  0   0
HO2C6O2                        133.16700000  6 13  3  0  0  0  0  0   1
HO2C6O                         117.16800000  6 13  2  0  0  0  0  0   0
HO2C6NO3                       163.17300000  6 13  4  1  0  0  0  0   0
HO2CO5C6                       116.16000000  6 12  2  0  0  0  0  0   0
HEXBOOH                        118.17600000  6 14  2  0  0  0  0  0   0
HEX2ONE                        100.16100000  6 12  1  0  0  0  0  0   0
HEXBOH                         102.17700000  6 14  1  0  0  0  0  0   0
HO2C6OOH                       134.17500000  6 14  3  0  0  0  0  0   0
HO25C6                         118.17600000  6 14  2  0  0  0  0  0   0
CO25C6                         114.14400000  6 10  2  0  0  0  0  0   0
C61O2                          147.15000000  6 11  4  0  0  0  0  0   1
C61O                           131.15100000  6 11  3  0  0  0  0  0   0
C61NO3                         177.15600000  6 11  5  1  0  0  0  0   0
C61OOH                         148.15800000  6 12  4  0  0  0  0  0   0
C61CO                          130.14300000  6 10  3  0  0  0  0  0   0
C61OH                          132.15900000  6 12  3  0  0  0  0  0   0
CO235C6                        128.12700000  6  8  3  0  0  0  0  0   0
C62O2                          159.11700000  6  7  5  0  0  0  0  0   1
C62O                           143.11800000  6  7  4  0  0  0  0  0   0
MGLYOX                          72.06300000  3  4  2  0  0  0  0  0   0
C62OOH                         160.12500000  6  8  5  0  0  0  0  0   0
CO25C6O2                       145.13400000  6  9  4  0  0  0  0  0   1
CO25C6O                        129.13500000  6  9  3  0  0  0  0  0   0
CO25C6OOH                      146.14200000  6 10  4  0  0  0  0  0   0
CO25C6OH                       130.14300000  6 10  3  0  0  0  0  0   0
HEXCO                          101.16900000  6 13  1  0  0  0  0  0   0
HEXCNO3                        147.17400000  6 13  3  1  0  0  0  0   0
HEX3ONE                        100.16100000  6 12  1  0  0  0  0  0   0
