#     time                    CH3OH                   -                       CH3CHO                  C2H5OH                  CH3COCH3                CH3CO2H                 C5H8                    -                       MEK                     BENZENE                 -                       -                       TOLUENE                 MONOTERPENE
      1.014722222222e+02      1.133346566580e+00      7.671262593356e-02      3.291701421149e-01      3.982422962824e-01      7.778712388659e-01      3.776640473058e-01      1.984308243559e-02      1.573847211997e-02      1.030610284588e-01      8.384967569158e-02      3.231026268582e-02      2.098430471661e-02      2.489026378629e-02      3.597894479697e-02
      1.014791666667e+02      1.132591566025e+00      7.665888279051e-02      3.293961105935e-01      3.908108165245e-01      7.782962247759e-01      3.754453520778e-01      1.951124311266e-02      1.511582643667e-02      1.034056536623e-01      8.410228090102e-02      3.092727158059e-02      2.029270812094e-02      2.502989607113e-02      3.381495011191e-02
      1.014861111111e+02      1.131836565470e+00      7.660513964746e-02      3.296220790722e-01      3.833793367667e-01      7.787212106859e-01      3.732266568497e-01      1.917940378972e-02      1.449318075338e-02      1.037502788658e-01      8.435488611046e-02      2.954428047536e-02      1.960111152528e-02      2.516952835598e-02      3.165095542686e-02
      1.014930555556e+02      1.131081564915e+00      7.655139650441e-02      3.298480475508e-01      3.759478570088e-01      7.791461965959e-01      3.710079616217e-01      1.884756446679e-02      1.387053507008e-02      1.040949040694e-01      8.460749131990e-02      2.816128937013e-02      1.890951492961e-02      2.530916064082e-02      2.948696074180e-02
      1.015000000000e+02      1.125748007516e+00      7.680214147716e-02      3.271761127311e-01      3.734660885292e-01      7.799241973974e-01      3.701036804037e-01      1.883955921094e-02      1.352603482045e-02      1.043335383290e-01      8.456743649418e-02      2.743660667551e-02      1.888846650731e-02      2.497057254380e-02      2.849550694426e-02
      1.015069444444e+02      1.117201928951e+00      7.726652899060e-02      3.224708787736e-01      3.744572598402e-01      7.809498893054e-01      3.701216511032e-01      1.905877048431e-02      1.337669390233e-02      1.044978045808e-01      8.432203824052e-02      2.717382273526e-02      1.933790480675e-02      2.429644354357e-02      2.832676050794e-02
      1.015138888889e+02      1.108655850386e+00      7.773091650404e-02      3.177656448161e-01      3.754484311513e-01      7.819755812133e-01      3.701396218026e-01      1.927798175767e-02      1.322735298420e-02      1.046620708326e-01      8.407663998685e-02      2.691103879500e-02      1.978734310619e-02      2.362231454333e-02      2.815801407163e-02
      1.015208333333e+02      1.100109771821e+00      7.819530401748e-02      3.130604108586e-01      3.764396024624e-01      7.830012731213e-01      3.701575925021e-01      1.949719303104e-02      1.307801206608e-02      1.048263370844e-01      8.383124173318e-02      2.664825485475e-02      2.023678140564e-02      2.294818554310e-02      2.798926763531e-02
      1.015277777778e+02      1.091563693256e+00      7.865969153092e-02      3.083551769011e-01      3.774307737734e-01      7.840269650293e-01      3.701755632016e-01      1.971640430440e-02      1.292867114796e-02      1.049906033363e-01      8.358584347951e-02      2.638547091449e-02      2.068621970508e-02      2.227405654286e-02      2.782052119899e-02
      1.015347222222e+02      1.083017614691e+00      7.912407904436e-02      3.036499429436e-01      3.784219450845e-01      7.850526569372e-01      3.701935339010e-01      1.993561557776e-02      1.277933022984e-02      1.051548695881e-01      8.334044522584e-02      2.612268697423e-02      2.113565800452e-02      2.159992754262e-02      2.765177476268e-02
      1.015416666667e+02      1.074471536127e+00      7.958846655780e-02      2.989447089860e-01      3.794131163956e-01      7.860783488452e-01      3.702115046005e-01      2.015482685113e-02      1.262998931171e-02      1.053191358399e-01      8.309504697217e-02      2.585990303398e-02      2.158509630397e-02      2.092579854239e-02      2.748302832636e-02
      1.015486111111e+02      1.065925457562e+00      8.005285407124e-02      2.942394750285e-01      3.804042877066e-01      7.871040407532e-01      3.702294753000e-01      2.037403812449e-02      1.248064839359e-02      1.054834020918e-01      8.284964871850e-02      2.559711909372e-02      2.203453460341e-02      2.025166954215e-02      2.731428189005e-02
      1.015555555556e+02      1.057379378997e+00      8.051724158468e-02      2.895342410710e-01      3.813954590177e-01      7.881297326611e-01      3.702474459994e-01      2.059324939785e-02      1.233130747547e-02      1.056476683436e-01      8.260425046483e-02      2.533433515347e-02      2.248397290285e-02      1.957754054192e-02      2.714553545373e-02
      1.015625000000e+02      1.048833300432e+00      8.098162909812e-02      2.848290071135e-01      3.823866303288e-01      7.891554245691e-01      3.702654166989e-01      2.081246067122e-02      1.218196655735e-02      1.058119345954e-01      8.235885221116e-02      2.507155121321e-02      2.293341120230e-02      1.890341154168e-02      2.697678901741e-02
      1.015694444444e+02      1.040287221867e+00      8.144601661155e-02      2.801237731560e-01      3.833778016399e-01      7.901811164771e-01      3.702833873984e-01      2.103167194458e-02      1.203262563922e-02      1.059762008472e-01      8.211345395749e-02      2.480876727296e-02      2.338284950174e-02      1.822928254145e-02      2.680804258110e-02
      1.015763888889e+02      1.031741143302e+00      8.191040412499e-02      2.754185391985e-01      3.843689729509e-01      7.912068083850e-01      3.703013580978e-01      2.125088321794e-02      1.188328472110e-02      1.061404670991e-01      8.186805570382e-02      2.454598333270e-02      2.383228780118e-02      1.755515354121e-02      2.663929614478e-02
      1.015833333333e+02      1.023195064737e+00      8.237479163843e-02      2.707133052410e-01      3.853601442620e-01      7.922325002930e-01      3.703193287973e-01      2.147009449131e-02      1.173394380298e-02      1.063047333509e-01      8.162265745015e-02      2.428319939244e-02      2.428172610063e-02      1.688102454098e-02      2.647054970847e-02
      1.015902777778e+02      1.014648986173e+00      8.283917915187e-02      2.660080712835e-01      3.863513155731e-01      7.932581922010e-01      3.703372994968e-01      2.168930576467e-02      1.158460288486e-02      1.064689996027e-01      8.137725919648e-02      2.402041545219e-02      2.473116440007e-02      1.620689554074e-02      2.630180327215e-02
      1.015972222222e+02      1.006102907608e+00      8.330356666531e-02      2.613028373260e-01      3.873424868841e-01      7.942838841089e-01      3.703552701962e-01      2.190851703803e-02      1.143526196673e-02      1.066332658546e-01      8.113186094281e-02      2.375763151193e-02      2.518060269952e-02      1.553276654050e-02      2.613305683583e-02
      1.016041666667e+02      9.975568290429e-01      8.376795417875e-02      2.565976033685e-01      3.883336581952e-01      7.953095760169e-01      3.703732408957e-01      2.212772831140e-02      1.128592104861e-02      1.067975321064e-01      8.088646268914e-02      2.349484757168e-02      2.563004099896e-02      1.485863754027e-02      2.596431039952e-02
      1.016111111111e+02      9.890107504780e-01      8.423234169219e-02      2.518923694110e-01      3.893248295063e-01      7.963352679249e-01      3.703912115952e-01      2.234693958476e-02      1.113658013049e-02      1.069617983582e-01      8.064106443547e-02      2.323206363142e-02      2.607947929840e-02      1.418450854003e-02      2.579556396320e-02
      1.016180555556e+02      9.804646719132e-01      8.469672920563e-02      2.471871354535e-01      3.903160008173e-01      7.973609598328e-01      3.704091822946e-01      2.256615085812e-02      1.098723921236e-02      1.071260646100e-01      8.039566618180e-02      2.296927969117e-02      2.652891759785e-02      1.351037953980e-02      2.562681752689e-02
