#Compound                    Mass                        parameter_A              parameter_B              surface_tension   
HMACROOH                     136.103300000000            11.009746544947          5777.561060271070        0.05
NC524OH                      197.143300000000            13.805222544448          7421.124785244411        0.05
NC524O2                      212.134800000000            13.159585200520          6804.184115067525        0.05
C919OH                       186.205100000000             9.576185385724          4731.704249862459        0.05
INAHPCO2H                    211.126900000000            13.616403060135          7381.738611436261        0.05
C625O2                       163.148500000000             9.690942540592          4697.912653639304        0.05
NC102O                       244.221300000000            10.659633650228          5165.564887000466        0.05
PINIC                        186.205100000000            11.558587765404          5997.155722984803        0.05
C4MALOHOOH                   148.114000000000             8.971097865175          4471.557543293921        0.05
C1211CO3                     271.286400000000            11.058265473332          5532.813459591152        0.05
NBCALOOH                     331.361500000000            11.642572649024          6034.177253028380        0.05
MVKOHBOOH                    136.103300000000            10.425945700514          5534.855291621608        0.05
C1213OOH                     276.283000000000            15.820422184671          8771.661741398761        0.05
C108OOH                      216.231000000000            11.312928434571          5686.934356894247        0.05
INANCO2H                     240.125000000000            13.795597746185          7137.861639730620        0.05
CO25C6CO3H                   174.151300000000             9.774179062393          4814.285466336096        0.05
C4PAN10                      195.084400000000             9.515978681300          4781.384950597687        0.05
C524OOH                      134.130500000000            10.832824666033          5626.955569091203        0.05
INDHPCO3H                    227.126300000000            13.530644914373          7236.006481865791        0.05
NBPINAOOH                    231.245700000000            11.011751843960          5229.935035953802        0.05
C517OH                       118.131100000000            10.253144638489          4945.957776093200        0.05
C812OH                       174.194400000000            11.556662256330          6016.148485663703        0.05
C1312OH                      242.311400000000            12.601259218517          6752.693686584644        0.05
C1310OH                      258.310800000000            14.534204836845          8220.684846692990        0.05
C6TONOHOOH                   176.124100000000            11.045349126491          5611.825032022619        0.05
INB1NBCO2H                   240.125000000000            14.430747830250          7490.092611446824        0.05
C1310O2                      273.302200000000            12.989354024947          7016.655485681028        0.05
C126CO3H                     240.295500000000            10.306938334233          5034.850348808330        0.05
C1312O2                      257.302800000000            10.996749158294          5548.664331850473        0.05
C525OOH                      166.129300000000            12.574333772113          7107.170140188123        0.05
C534OOH                      180.112800000000            10.829104024240          5776.839839465685        0.05
C137CO2H                     254.322100000000            13.336336647525          7251.716843373120        0.05
C921OOH                      204.220300000000            11.902871051721          6435.889725558605        0.05
BCLKBO                       253.314100000000             9.037554667172          4617.549349671688        0.05
C3DIOLOOH                    108.093200000000             9.925950218840          4965.151520451622        0.05
INAHPCO3                     226.118300000000            10.771302739906          5276.678384416065        0.05
NORLIMO2                     203.212400000000            10.026494281942          4845.318452740059        0.05
BPINCOOH                     186.248100000000            10.504626801217          5375.017090496022        0.05
C614NO3                      191.138800000000            11.582377846114          5401.387487255873        0.05
