#Compound                    Mass               C   O   N   H   S  Cl  Br
C1213O2                      275.275100000000  12   7   0  19   0   0   0
C133CO                       256.294900000000  13   5   0  20   0   0   0
C151OOH                      302.363300000000  15   6   0  26   0   0   0
NC728OOH                     223.180600000000   7   7   1  13   0   0   0
C923CO3H                     200.231600000000  10   4   0  16   0   0   0
C820OOH                      204.177300000000   8   6   0  12   0   0   0
C235C6CO3H                   188.134800000000   7   6   0   8   0   0   0
INB2OOH                      197.143300000000   5   7   1  11   0   0   0
C719O2                       175.159200000000   7   5   0  11   0   0   0
C128O                        227.276900000000  12   4   0  19   0   0   0
C623NO3                      193.154600000000   6   6   1  11   0   0   0
C1211O2                      243.276300000000  12   5   0  19   0   0   0
INDOH                        181.143900000000   5   6   1  11   0   0   0
BCLKCO                       253.314100000000  14   4   0  21   0   0   0
INDO2                        196.135400000000   5   7   1  10   0   0   0
C719OH                       160.167800000000   7   4   0  12   0   0   0
C525O                        149.122000000000   5   5   0   9   0   0   0
C145OOH                      304.336200000000  14   7   0  24   0   0   0
HIEB1O                       149.122000000000   5   5   0   9   0   0   0
INB1HPCO3H                   227.126300000000   5   9   1   9   0   0   0
C107OOH                      200.231600000000  10   4   0  16   0   0   0
C517CO3H                     162.140600000000   6   5   0  10   0   0   0
C826OOH                      190.193800000000   8   5   0  14   0   0   0
INB1HPPAN                    272.123800000000   5  11   2   8   0   0   0
LMLKBOOH                     202.204500000000   9   5   0  14   0   0   0
C57OH                        134.130500000000   5   4   0  10   0   0   0
MMALNBPAN                    254.108500000000   5  10   2   6   0   0   0
BCKBOOH                      256.338000000000  14   4   0  24   0   0   0
C537OOH                      182.042600000000   5   7   0  10   0   0   0
C1214O                       227.276900000000  12   4   0  19   0   0   0
C614OOH                      162.140600000000   6   5   0  10   0   0   0
NBCALOH                      315.362100000000  15   6   1  25   0   0   0
NAPINBOOH                    231.245700000000  10   5   1  17   0   0   0
C717OOH                      174.151300000000   7   5   0  10   0   0   0
HOPINONIC                    200.231600000000  10   4   0  16   0   0   0
C826OH                       174.194400000000   8   4   0  14   0   0   0
BCLKCCO                      252.306200000000  14   4   0  20   0   0   0
C719OOH                      176.167200000000   7   5   0  12   0   0   0
INB1NBCO3                    255.116500000000   5  10   2   7   0   0   0
C730OOH                      178.183100000000   7   5   0  14   0   0   0
C827CO3H                     202.204500000000   9   5   0  14   0   0   0
C521OH                       132.114600000000   5   4   0   8   0   0   0
C1310CO                      256.294900000000  13   5   0  20   0   0   0
LIMALNO3                     247.245100000000  10   6   1  17   0   0   0
C734OOH                      192.166600000000   7   6   0  12   0   0   0
C136OH                       210.312600000000  13   2   0  22   0   0   0
C728NO3                      207.181200000000   7   6   1  13   0   0   0
NC102O2                      260.220700000000  10   7   1  14   0   0   0
HPC52OOH                     166.129300000000   5   6   0  10   0   0   0
NAPINAOOH                    231.245700000000  10   5   1  17   0   0   0
BCKAOO                       254.322100000000  14   4   0  22   0   0   0
BCKAOH                       240.338600000000  14   3   0  24   0   0   0
NPXYFUOOH                    193.111600000000   5   7   1   7   0   0   0
LIMALO2                      217.239000000000  10   5   0  17   0   0   0
C152O2                       301.355400000000  15   6   0  25   0   0   0
HPC52PAN                     243.125700000000   5  10   1   9   0   0   0
C142NO3                      285.336100000000  14   5   1  23   0   0   0
C720OOH                      144.168400000000   7   3   0  12   0   0   0
NBCKOOH                      301.335500000000  14   6   1  23   0   0   0
C58OH                        134.130500000000   5   4   0  10   0   0   0
BCLKBOOH                     270.321500000000  14   5   0  22   0   0   0
C152OH                       286.363900000000  15   5   0  26   0   0   0
C141OO                       270.321500000000  14   5   0  22   0   0   0
LIMALOH                      202.247500000000  10   4   0  18   0   0   0
INANCOCO2H                   238.109100000000   5   9   2   6   0   0   0
LIMALAOH                     184.232200000000  10   3   0  16   0   0   0
C87PAN                       261.185500000000   9   8   1  11   0   0   0
C722OOH                      176.167200000000   7   5   0  12   0   0   0
INDHPCHO                     195.127500000000   5   7   1   9   0   0   0
INB1NAPAN                    301.122000000000   5  12   3   7   0   0   0
C721OOH                      160.167800000000   7   4   0  12   0   0   0
INCNPAN                      301.122000000000   5  12   3   7   0   0   0
BCKAO2                       255.330000000000  14   4   0  23   0   0   0
HIEB2O                       149.122000000000   5   5   0   9   0   0   0
INB1OH                       181.143900000000   5   6   1  11   0   0   0
C1212OH                      244.284200000000  12   5   0  20   0   0   0
C59OOH                       150.129900000000   5   5   0  10   0   0   0
C116CHO                      210.269500000000  12   3   0  18   0   0   0
C729CO2H                     156.179100000000   8   3   0  12   0   0   0
BCALO                        269.356600000000  15   4   0  25   0   0   0
C57NO3PAN                    256.124400000000   5  10   2   8   0   0   0
BCAL                         236.349900000000  15   2   0  24   0   0   0
INB1O2                       196.135400000000   5   7   1  10   0   0   0
C148CO                       268.131000000000  14   5   0  20   0   0   0
INB1NBPAN                    301.122000000000   5  12   3   7   0   0   0
C623OH                       148.157100000000   6   4   0  12   0   0   0
BCALNO3                      315.362100000000  15   6   1  25   0   0   0
C623O2                       163.148500000000   6   5   0  11   0   0   0
C827OOH                      174.194400000000   8   4   0  14   0   0   0
C133NO3                      303.308300000000  13   7   1  21   0   0   0
C812O                        173.186400000000   8   4   0  13   0   0   0
