#Compound                    Mass               C   O   N   H   S  Cl  Br
C731CO2H                     172.178500000000   7   6   1   7   0   0   0
C916OH                       186.205100000000   9   3   0  13   0   0   0
C919OOH                      202.204500000000   3   4   0   8   0   0   0
LIMALOOH                     218.246900000000   5   9   1   8   0   0   0
HOCH2COCO2H                  104.061500000000   9   5   0  15   0   0   0
INDHPAN                      256.124400000000   4   5   0   3   0   0   0
HOCO3C4OOH                   120.103900000000   3   2   0   4   0   0   0
C813OH                       190.193800000000  10   3   0  18   0   0   0
C4M2ALOHNO3                  177.112200000000   0   4   1  77   0   0   0
C536O2                       181.034800000000   6   6   1   9   0   0   0
LIMAOOH                      186.248100000000   5   3   0   9   0   0   0
NTLFUOOH                     193.111600000000   7   4   0   9   0   0   0
C106OH                       200.231600000000   3   5   1   6   0   0   0
C813O2                       205.185200000000  10   6   1  15   0   0   0
C818OH                       174.194400000000   6   4   0  10   0   0   0
MACRNCO3H                    181.100900000000   5   4   0  10   0   0   0
MACRNPAN                     226.098400000000   4   5   0   6   0   0   0
C88CO3H                      200.188600000000   3   3   0   3   0   0   0
GENERIC                      437.000000000000   7   6   1   9   0   0   0
