#Compound                    Mass               C   O   N   H   S  Cl  Br
INCNCO2H                     240.125000000000   5   9   2   8   0   0   0
LIMALBOH                     184.232200000000  10   3   0  16   0   0   0
C625OOH                      164.156500000000   6   5   0  12   0   0   0
INANCOCO2H                   238.109100000000   5   9   2   6   0   0   0
MACRNBCO2H                   165.101500000000   4   6   1   7   0   0   0
INAHPPAN                     272.123800000000   5  11   2   8   0   0   0
C57NO3CO2H                   195.127500000000   5   7   1   9   0   0   0
C732CO3H                     204.177300000000   8   6   0  12   0   0   0
HOCH2COCO2H                  104.061500000000   3   4   0   4   0   0   0
C536O2                       181.034800000000   5   7   0   9   0   0   0
C820OOH                      204.177300000000   8   6   0  12   0   0   0
LIMAOOH                      186.248100000000  10   3   0  18   0   0   0
C515OOH                      146.098100000000   5   5   0   6   0   0   0
MACRNPAN                     226.098400000000   4   9   2   6   0   0   0
C88CO3H                      200.188600000000   9   5   0  12   0   0   0
MNNCATECO2                   295.137300000000   7  11   2   7   0   0   0
HMVKBCO3H                    148.114000000000   5   5   0   8   0   0   0
C629OH                       146.141200000000   6   4   0  10   0   0   0
C109OH                       184.232200000000  10   3   0  16   0   0   0
DHPMPAL                      136.103300000000   4   5   0   8   0   0   0
DHPMEK                       136.037100000000   4   5   0   8   0   0   0
INB1OOH                      197.143300000000   5   7   1  11   0   0   0
TLEMUCCO                     172.135400000000   7   5   0   8   0   0   0
C98OH                        188.220900000000   9   4   0  16   0   0   0
C513OOH                      148.114000000000   5   5   0   8   0   0   0
MMALNBCO3H                   209.111000000000   5   8   1   7   0   0   0
INCNO3                       226.141500000000   5   8   2  10   0   0   0
C614OH                       146.141200000000   6   4   0  10   0   0   0
HIEPOXB                      134.130500000000   5   4   0  10   0   0   0
C86OOH                       174.194400000000   8   4   0  14   0   0   0
CONM2CO2H                    163.085600000000   4   6   1   5   0   0   0
C57OOH                       150.129900000000   5   5   0  10   0   0   0
C922O2                       219.211800000000   9   6   0  15   0   0   0
C106OOH                      216.231000000000  10   5   0  16   0   0   0
HMVKNGLYOX                   163.085600000000   4   6   1   5   0   0   0
TLEMUCCO2H                   156.136000000000   7   4   0   8   0   0   0
INDHPPAN                     272.123800000000   5  11   2   8   0   0   0
C733CO                       158.151900000000   7   4   0  10   0   0   0
LIMONIC                      186.205100000000   9   4   0  14   0   0   0
C44OOH                       134.087400000000   4   5   0   6   0   0   0
BZEMUCCO                     158.108800000000   6   5   0   6   0   0   0
MVKOHANO3                    165.101500000000   4   6   1   7   0   0   0
C825OH                       174.194400000000   8   4   0  14   0   0   0
C624CO2H                     144.168400000000   7   3   0  12   0   0   0
C7PAN3                       233.132400000000   7   8   1   7   0   0   0
H1C23C4OOH                   134.087400000000   4   5   0   6   0   0   0
INANCHO                      224.125600000000   5   8   2   8   0   0   0
C5CO2OHPAN                   219.105800000000   6   8   1   5   0   0   0
C530OOH                      134.130500000000   5   4   0  10   0   0   0
LMLKBOH                      186.205100000000   9   4   0  14   0   0   0
NC524O2                      212.134800000000   5   8   1  10   0   0   0
C537OOH                      182.042600000000   5   7   0  10   0   0   0
PINIC                        186.205100000000   9   4   0  14   0   0   0
C721CO3H                     188.177900000000   8   5   0  12   0   0   0
NBPINAOOH                    231.245700000000  10   5   1  17   0   0   0
BPINCOOH                     186.248100000000  10   3   0  18   0   0   0
CRESOOH                      190.150700000000   7   6   0  10   0   0   0
INB1O                        180.136000000000   5   6   1  10   0   0   0
