         C97OOH      0.44      9.00      4.00      0.00        188.221       1.10e-11       3.19e+08
        C716OOH      0.71      7.00      5.00      0.00        174.151       5.30e-11       1.54e+09
        NC101O2      0.60     10.00      6.00      1.00        244.221       8.97e-08       2.60e+12
       HMVKANO3      1.25      4.00      5.00      1.00        149.102       5.50e-08       1.60e+12
     HOC2H4CO2H      1.00      3.00      3.00      0.00         90.078       8.78e-09       2.55e+11
          C526O      1.00      5.00      5.00      0.00        149.122       2.46e-09       7.13e+10
      C1013CO3H      0.45     11.00      5.00      0.00        230.258       7.84e-10       2.27e+10
        C729OOH      0.43      7.00      3.00      0.00        144.168       7.13e-08       2.07e+12
       HC4CCO2H      0.60      5.00      3.00      0.00        116.115       1.96e-09       5.68e+10
         C151OH      0.33     15.00      5.00      0.00        286.364       1.53e-19       4.43e+00
        C818OOH      0.62      8.00      5.00      0.00        190.194       3.59e-13       1.04e+07
         C151O2      0.40     15.00      6.00      0.00        301.355       5.68e-15       1.65e+05
        C718OOH      0.57      7.00      4.00      0.00        160.168       3.81e-09       1.10e+11
        C629OOH      0.83      6.00      5.00      0.00        162.141       3.66e-12       1.06e+08
          C134O      0.46     13.00      6.00      0.00        271.286       1.16e-13       3.36e+06
         C116OH      0.27     11.00      3.00      0.00        198.259       4.19e-10       1.21e+10
       C617CO3H      0.71      7.00      5.00      0.00        174.151       7.29e-09       2.12e+11
          C118O      0.45     11.00      5.00      0.00        229.250       2.98e-11       8.64e+08
         C733CO      0.57      7.00      4.00      0.00        158.152       1.45e-09       4.22e+10
       C920CO3H      0.50     10.00      5.00      0.00        216.231       1.94e-12       5.63e+07
         LIMCOH      0.20     10.00      2.00      0.00        170.249       1.31e-09       3.80e+10
       C817CO3H      0.56      9.00      5.00      0.00        202.204       2.36e-10       6.84e+09
      CONM2CO3H      1.75      4.00      7.00      1.00        179.085       3.60e-09       1.04e+11
      COHM2CO2H      1.00      4.00      4.00      0.00        118.088       3.12e-09       9.04e+10
