#Compound                    Mass               C   O   N   H   S  Cl  Br
TMB1FUOOH                    162.140600000000   6   5   0  10   0   0   0
C512CO2H                     144.125300000000   6   4   0   8   0   0   0
INB1NACHO                    224.125600000000   5   8   2   8   0   0   0
C88CO2H                      184.189200000000   9   4   0  12   0   0   0
NPTLQO2                      216.125000000000   7   7   1   6   0   0   0
NDEMPHOLO                    274.247200000000  11   7   1  16   0   0   0
NPXYOLOOH                    249.174800000000   8   8   1  11   0   0   0
C112OOH                      218.290000000000  11   4   0  22   0   0   0
IPBZMUCPAN                   245.186100000000   9   7   1  11   0   0   0
PBZQOH                       142.109400000000   6   4   0   6   0   0   0
INANO3                       226.141500000000   5   8   2  10   0   0   0
NDNEBZLOOH                   339.170000000000   8  12   3   9   0   0   0
TM135OBPOH                   184.189200000000   9   4   0  12   0   0   0
LMLKACO                      184.189200000000   9   4   0  12   0   0   0
C811PAN                      247.202000000000   9   7   1  13   0   0   0
C141CO3H                     268.348700000000  15   4   0  24   0   0   0
OETLMUCO2H                   184.189200000000   9   4   0  12   0   0   0
C719NO3                      205.165300000000   7   6   1  11   0   0   0
HMACROH                      120.103900000000   4   4   0   8   0   0   0
LMKAOOH                      188.220900000000   9   4   0  16   0   0   0
C524OH                       118.131100000000   5   3   0  10   0   0   0
C621OOH                      178.140000000000   6   6   0  10   0   0   0
LMKBOOH                      188.220900000000   9   4   0  16   0   0   0
PETLMUCPAN                   245.186100000000   9   7   1  11   0   0   0
MMALNBCO2H                   193.111600000000   5   7   1   7   0   0   0
C56NO3                       151.118000000000   4   5   1   9   0   0   0
DNOETOLOOH                   308.199000000000   9  10   2  12   0   0   0
EBZBPERNO3                   217.176000000000   8   6   1  11   0   0   0
C620OOH                      160.124700000000   6   5   0   8   0   0   0
C624CO3H                     160.167800000000   7   4   0  12   0   0   0
C97OOH                       188.220900000000   9   4   0  16   0   0   0
PBZQOOH                      158.108800000000   6   5   0   6   0   0   0
NPPRBQO                      228.178800000000   9   6   1  10   0   0   0
OXNCATECO                    248.166900000000   8   8   1  10   0   0   0
DETLMUO3H                    228.241700000000  11   5   0  16   0   0   0
C733OH                       160.167800000000   7   4   0  12   0   0   0
NPETLQO                      228.178800000000   9   6   1  10   0   0   0
C42OOH                       181.100900000000   4   7   1   7   0   0   0
LIMAOH                       170.248700000000  10   2   0  18   0   0   0
C829OH                       174.194400000000   8   4   0  14   0   0   0
HC4ACO2H                     116.115200000000   5   3   0   8   0   0   0
C7CDCCO2H                    142.152500000000   7   3   0  10   0   0   0
C6EO2OHPAN                   261.185500000000   9   8   1  11   0   0   0
MXYQOH                       170.162600000000   8   4   0  10   0   0   0
C87CO3H                      216.188000000000   9   6   0  12   0   0   0
NOXYOLO2                     248.166900000000   8   8   1  10   0   0   0
METLBPROOH                   202.204500000000   9   5   0  14   0   0   0
C536OOH                      182.042600000000   5   7   0  10   0   0   0
C5O5OHCO3H                   162.140600000000   6   5   0  10   0   0   0
H3M3C5CO2H                   146.184300000000   7   3   0  14   0   0   0
NOXYOLOH                     233.175400000000   8   7   1  11   0   0   0
INB2O                        180.136000000000   5   6   1  10   0   0   0
BCSOZOOH                     302.363300000000  15   6   0  26   0   0   0
HMACROOH                     136.103300000000   4   5   0   8   0   0   0
NPBNZOLO                     246.194100000000   9   7   1  12   0   0   0
PNCATECO                     262.193500000000   9   8   1  12   0   0   0
C108OOH                      216.231000000000  10   5   0  16   0   0   0
OETLQONE                     150.174500000000   9   2   0  10   0   0   0
C4PAN10                      195.084400000000   4   8   1   5   0   0   0
C524OOH                      134.130500000000   5   4   0  10   0   0   0
C61CO3H                      190.150700000000   7   6   0  10   0   0   0
C77OOH                       162.183700000000   7   4   0  14   0   0   0
HO3C5CO2H                    132.157700000000   6   3   0  12   0   0   0
C4OH2CO3H                    150.129900000000   5   5   0  10   0   0   0
PPRBQONE                     150.174500000000   9   2   0  10   0   0   0
PEBQOH                       172.178500000000   8   4   0  12   0   0   0
C137OOH                      242.311400000000  13   4   0  22   0   0   0
C525OOH                      166.129300000000   5   6   0  10   0   0   0
C137CO2H                     254.322100000000  14   4   0  22   0   0   0
MTNNCATCO2                   323.190400000000   9  11   2  11   0   0   0
C3DIOLOOH                    108.093200000000   3   4   0   8   0   0   0
C614NO3                      191.138800000000   6   6   1   9   0   0   0
OXNCATCOOH                   265.174200000000   8   9   1  11   0   0   0
MXNCATCOOH                   265.174200000000   8   9   1  11   0   0   0
C58NO3CO3                    210.118900000000   5   8   1   8   0   0   0
C811OH                       158.195000000000   8   3   0  14   0   0   0
METLQOH                      184.189200000000   9   4   0  12   0   0   0
PXYOLOH                      188.177900000000   8   5   0  12   0   0   0
METLQO2                      199.180600000000   9   5   0  11   0   0   0
PETOLOOH                     218.203900000000   9   6   0  14   0   0   0
H3C25CCO2H                   174.151300000000   7   5   0  10   0   0   0
H3C25C6OOH                   162.140600000000   6   5   0  10   0   0   0
NCRESOH                      219.148900000000   7   7   1   9   0   0   0
OTNCATECO2                   278.192900000000   9   9   1  12   0   0   0
C610NO3                      177.155200000000   6   5   1  11   0   0   0
C95OOH                       202.204500000000   9   5   0  14   0   0   0
H3C25C6PAN                   235.148300000000   7   8   1   9   0   0   0
PETOLO                       201.196500000000   9   5   0  13   0   0   0
METLMUCNO3                   247.202000000000   9   7   1  13   0   0   0
INCNCHO                      224.125600000000   5   8   2   8   0   0   0
C7MCO2OOH                    172.178500000000   8   4   0  12   0   0   0
OXYBIPENO3                   217.176000000000   8   6   1  11   0   0   0
DMEBMUOOH                    232.230400000000  10   6   0  16   0   0   0
