#Compound,Mass,parameter_A,parameter_B,Surface_tension,alpha_wall,density,Henrys_constant,parameter_C
C614OOH,162.1406,11.441921535213,5645.26446188581,0.05,0.00005,1400,0,0
T123NNCOOH,324.1984,15.312645743885,8316.36809784529,0.05,0.00005,1400,0,0
C610OOH,148.1571,10.459377043587,5200.68865313491,0.05,0.00005,1400,0,0
INAHCO3H,211.1269,11.543426747497,5919.24332768148,0.05,0.00005,1400,0,0
NMETOLO,246.1941,10.476730676615,5048.02531933515,0.05,0.00005,1400,0,0
NPETOLOOH,263.2014,13.402811500034,7016.35935178619,0.05,0.00005,1400,0,0
DETLMUOH,230.2576,10.230572632995,5301.47204632926,0.05,0.00005,1400,0,0
C125OOH,244.2842,11.053568359234,5536.21058541359,0.05,0.00005,1400,0,0
TM135OLOOH,218.2039,12.290345185937,6576.78051312065,0.05,0.00005,1400,0,0
H2M3C4CO2H,132.1577,9.778963322444,4806.13059209646,0.05,0.00005,1400,0,0
C727CO3H,188.1779,10.018885043986,4972.64920602908,0.05,0.00005,1400,0,0
T123NNCTO2,323.1904,12.714869034547,6440.58255599503,0.05,0.00005,1400,0,0
OTNCATCOOH,279.2008,14.45980485207,8154.43472509264,0.05,0.00005,1400,0,0
C925O,203.2124,12.213093420274,6045.38242151701,0.05,0.00005,1400,0,0
INCOOH,197.1433,12.171756597889,6317.0046464972,0.05,0.00005,1400,0,0
C6DICAROOH,162.1406,9.437491416368,4815.01824601385,0.05,0.00005,1400,0,0
DNMETOLO2,307.191,9.780582887855,4793.54344912867,0.05,0.00005,1400,0,0
C516O2,163.1055,11.022145324841,5333.11864964664,0.05,0.00005,1400,0,0
METOLO2,217.1959,9.669739096709,4700.99496580166,0.05,0.00005,1400,0,0
METOLOH,202.2045,11.003441556204,5683.40294880985,0.05,0.00005,1400,0,0
BCAL,236.3499,9.153776269908,4566.64675013573,0.05,0.00005,1400,0,0
C1213NO3,305.2812,13.692938442857,7119.03427997352,0.05,0.00005,1400,0,0
C61OOH,148.1571,9.936490388533,4919.61228731733,0.05,0.00005,1400,0,0
C64NO3,177.1552,10.599833340524,4956.81167450694,0.05,0.00005,1400,0,0
NNCATECO2,281.1107,11.980751082387,5965.49133480309,0.05,0.00005,1400,0,0
MBOBOOH,136.1464,9.33143991355,4627.17779761461,0.05,0.00005,1400,0,0
C1212O,243.2763,12.015749335019,6339.20422478971,0.05,0.00005,1400,0,0
C123OH,216.3172,11.360849064645,5905.33290368536,0.05,0.00005,1400,0,0
C1313OH,242.3114,11.654281382578,6052.92634610927,0.05,0.00005,1400,0,0
HO13C4OOH,122.1198,10.49527526301,5358.37296615749,0.05,0.00005,1400,0,0
C1313O2,257.3028,10.783630646982,5293.67645085355,0.05,0.00005,1400,0,0
C123O2,231.3086,9.774422659028,4772.45816634006,0.05,0.00005,1400,0,0
OTNNCATOOH,324.1984,15.534333326151,8501.46506449238,0.05,0.00005,1400,0,0
TM124MUNO3,247.202,11.020683404606,5520.30279822196,0.05,0.00005,1400,0,0
MXOHNO2OOH,249.1748,12.045639192651,6418.41677007986,0.05,0.00005,1400,0,0
MTNNCATOOH,324.1984,15.423489550415,8408.91658556235,0.05,0.00005,1400,0,0
HO3C96OOH,176.2533,10.175095068524,5106.43449198694,0.05,0.00005,1400,0,0
NOETLQO2,244.1782,9.794193104876,5021.65315127826,0.05,0.00005,1400,0,0
HO36C9,160.2539,9.57841857201,4657.83638608147,0.05,0.00005,1400,0,0
C102OOH,204.2634,10.77630828866,5659.16153783817,0.05,0.00005,1400,0,0
