#  julian_day      temp_K          RH              Pres            rad             UVB             O3              so2             co              no              no2             nh3             pm25            hono            air             acetaldehyde    toluene         xyluene         OPEN            ch3oh           c2h5oh          c2h6            hcho            methylglyoxal   isoprene        monoterpene     sesquiterpene   h2so4           Julian day      cs_sa_dry       cs_sa_wet       cs_hno3_dry     cs_hno3_wet
   3.5236111e+01   2.7045000e+02   3.5333333e+01   1.0181000e+03   1.0000000e-02   1.0000000e-02   9.0624847e+11   4.5772596e+10   5.5112021e+12   1.1387825e+05   2.0650457e+11   2.9853429e+10   1.2629900e+01   3.3030139e+08   2.7266801e+19   2.1404266e+10   2.9019910e+10   2.0800197e+10   4.5738058e+08   1.6088930e+09   2.7676003e+06   7.3845222e+15   1.4848618e+10   1.3462428e+09   6.6042744e+10   2.8067574e+10   4.7013384e+10   9.1715247e+06   3.5236111e+01   6.5281917e-03   7.0194580e-03   6.5281917e-05   7.0194580e-05
   3.5243056e+01   2.7040000e+02   3.4166667e+01   1.0182000e+03   1.0000000e-02   1.0000000e-02   8.9589756e+11   5.0067475e+10   5.8599764e+12   1.2088918e+05   2.2029644e+11   3.4390494e+10   1.2776950e+01   3.5495312e+08   2.7274521e+19   2.2107468e+10   3.0022766e+10   2.1539094e+10   4.6692708e+08   1.5810995e+09   2.5039829e+06   7.3823356e+15   1.5027193e+10   1.3762760e+09   6.6412128e+10   2.6148230e+10   4.6440801e+10   9.5514328e+06   3.5243056e+01   5.6704740e-03   6.1093605e-03   5.6704740e-05   6.1093605e-05
   3.5250000e+01   2.7035000e+02   3.3000000e+01   1.0183000e+03   1.0000000e-02   1.0000000e-02   8.8554074e+11   5.4364783e+10   6.2089478e+12   1.2790407e+05   2.3409612e+11   3.8930126e+10   1.2924000e+01   3.7961879e+08   2.7282245e+19   2.2811067e+10   3.1026187e+10   2.2278408e+10   4.7647895e+08   1.5532901e+09   2.2402161e+06   7.3801473e+15   1.5205868e+10   1.4063261e+09   6.6781511e+10   2.4228886e+10   4.5868218e+10   9.9315556e+06   3.5250000e+01   5.1971322e-03   5.6118196e-03   5.1971322e-05   5.6118196e-05
   3.5256944e+01   2.7026667e+02   3.2166667e+01   1.0185000e+03   1.0000000e-02   1.0000000e-02   8.5169896e+11   6.3253651e+10   6.9183620e+12   2.9539677e+08   2.7220976e+11   4.6221938e+10   1.3927517e+01   4.3307679e+08   2.7296017e+19   2.4956885e+10   3.6550231e+10   2.6176698e+10   5.5132268e+08   1.5625091e+09   2.0782368e+06   7.3799104e+15   1.6248718e+10   1.5431002e+09   6.5024504e+10   2.5145138e+10   4.4427359e+10   9.4594210e+06   3.5256944e+01   4.7485603e-03   5.1353913e-03   4.7485603e-05   5.1353913e-05
   3.5263889e+01   2.7018333e+02   3.1333333e+01   1.0187000e+03   1.0000000e-02   1.0000000e-02   8.1782284e+11   7.2151484e+10   7.6284913e+12   5.9096378e+08   3.1036183e+11   5.3521104e+10   1.4931033e+01   4.8658868e+08   2.7309798e+19   2.7104865e+10   4.2079847e+10   3.0078920e+10   6.2624188e+08   1.5717371e+09   1.9160936e+06   7.3796717e+15   1.7292618e+10   1.6800123e+09   6.3267496e+10   2.6061390e+10   4.2986501e+10   8.9868078e+06   3.5263889e+01   4.2347069e-03   4.5877759e-03   4.2347069e-05   4.5877759e-05
   3.5270833e+01   2.7010000e+02   3.0500000e+01   1.0189000e+03   1.0000000e-02   1.0000000e-02   7.8391234e+11   8.1058289e+10   8.3393363e+12   8.8682920e+08   3.4855238e+11   6.0827632e+10   1.5934550e+01   5.4015452e+08   2.7323587e+19   2.9255009e+10   4.7615039e+10   3.3985077e+10   7.0123663e+08   1.5809742e+09   1.7537863e+06   7.3794314e+15   1.8337570e+10   1.8170622e+09   6.1510489e+10   2.6977642e+10   4.1545642e+10   8.5137154e+06   3.5270833e+01   4.8256149e-03   5.2095299e-03   4.8256149e-05   5.2095299e-05
   3.5277778e+01   2.7001667e+02   2.9666667e+01   1.0191000e+03   1.0000000e-02   1.0000000e-02   7.4996743e+11   8.9974076e+10   9.0508977e+12   1.1829933e+09   3.8678144e+11   6.8141529e+10   1.6938067e+01   5.9377437e+08   2.7337384e+19   3.1407320e+10   5.3155813e+10   3.7895174e+10   7.7630700e+08   1.5902202e+09   1.5913146e+06   7.3791893e+15   1.9383572e+10   1.9542503e+09   6.0275498e+10   2.5597006e+10   4.3794619e+10   8.0401435e+06   3.5277778e+01   4.2244988e-03   4.5880096e-03   4.2244988e-05   4.5880096e-05
   3.5284722e+01   2.6993333e+02   2.8833333e+01   1.0193000e+03   1.0000000e-02   1.0000000e-02   7.1598807e+11   9.8898851e+10   9.7631762e+12   1.4794564e+09   4.2504904e+11   7.5462801e+10   1.7941583e+01   6.4744827e+08   2.7351191e+19   3.3561798e+10   5.8702174e+10   4.1809212e+10   8.5145305e+08   1.5994753e+09   1.4286785e+06   7.3789455e+15   2.0430628e+10   2.0915766e+09   5.9040507e+10   2.4216371e+10   4.6043595e+10   7.5660915e+06   3.5284722e+01   4.3826211e-03   4.7564525e-03   4.3826211e-05   4.7564525e-05
   3.5291667e+01   2.6985000e+02   2.8000000e+01   1.0195000e+03   5.1284059e-08   7.4501258e-12   6.8197425e+11   1.0783262e+11   1.0476172e+13   1.7762188e+09   4.6335522e+11   8.2791456e+10   1.8945100e+01   7.0117627e+08   2.7365005e+19   3.5718447e+10   6.4254127e+10   4.5727198e+10   9.2667486e+08   1.6087394e+09   1.2658778e+06   7.3787001e+15   2.1478738e+10   2.2290411e+09   5.7805517e+10   2.2835735e+10   4.8292572e+10   7.0915591e+06   3.5291667e+01   3.8468535e-03   4.1830011e-03   3.8468535e-05   4.1830011e-05
   3.5298611e+01   2.6978333e+02   2.7666667e+01   1.0197333e+03   9.1782000e+00   1.3333333e-03   6.8318640e+11   1.1094126e+11   1.0985353e+13   1.7096815e+10   4.7114262e+11   8.5697850e+10   1.9646750e+01   8.4158839e+08   2.7378032e+19   3.9619024e+10   6.6579587e+10   4.7535930e+10   1.1579607e+09   1.6451359e+09   1.1475137e+06   7.3790824e+15   2.3143153e+10   2.5765489e+09   6.0516588e+10   2.3269784e+10   4.6199065e+10   8.1558017e+06   3.5298611e+01   4.0308691e-03   4.3733160e-03   4.0308691e-05   4.3733160e-05
   3.5305556e+01   2.6971667e+02   2.7333333e+01   1.0199667e+03   1.8356400e+01   2.6666667e-03   6.8439955e+11   1.1405284e+11   1.1495017e+13   3.2431997e+10   4.7893735e+11   8.8606993e+10   2.0348400e+01   9.8213404e+08   2.7391065e+19   4.3523307e+10   6.8907247e+10   4.9346374e+10   1.3894666e+09   1.6815667e+09   1.0290367e+06   7.3794635e+15   2.4809147e+10   2.9243870e+09   6.3227659e+10   2.3703833e+10   4.4105557e+10   9.2210561e+06   3.5305556e+01   3.7553159e-03   4.0789403e-03   3.7553159e-05   4.0789403e-05
   3.5312500e+01   2.6965000e+02   2.7000000e+01   1.0202000e+03   2.7534600e+01   4.0000000e-03   6.8561372e+11   1.1716735e+11   1.2005163e+13   4.7781776e+10   4.8673938e+11   9.1518887e+10   2.1050050e+01   1.1228133e+09   2.7404105e+19   4.7431299e+10   7.1237108e+10   5.1158532e+10   1.6211926e+09   1.7180319e+09   9.1044659e+05   7.3798433e+15   2.6476723e+10   3.2725558e+09   6.5938731e+10   2.4137882e+10   4.2012050e+10   1.0287323e+07   3.5312500e+01   3.4140203e-03   3.7192577e-03   3.4140203e-05   3.7192577e-05
   3.5319444e+01   2.6958333e+02   2.6666667e+01   1.0204333e+03   3.6712800e+01   5.3333333e-03   6.8682889e+11   1.2028480e+11   1.2515792e+13   6.3146163e+10   4.9454875e+11   9.4433534e+10   2.1751700e+01   1.2636263e+09   2.7417151e+19   5.1343003e+10   7.3569173e+10   5.2972404e+10   1.8531390e+09   1.7545314e+09   7.9174336e+05   7.3802219e+15   2.8145881e+10   3.6210554e+09   6.5227707e+10   2.3476880e+10   4.0917356e+10   1.1354603e+07   3.5319444e+01   3.2016875e-03   3.4953482e-03   3.2016875e-05   3.4953482e-05
   3.5326389e+01   2.6951667e+02   2.6333333e+01   1.0206667e+03   4.5891000e+01   6.6666667e-03   6.8804506e+11   1.2340520e+11   1.3026906e+13   7.8525169e+10   5.0236544e+11   9.7350937e+10   2.2453350e+01   1.4045732e+09   2.7430204e+19   5.5258420e+10   7.5903443e+10   5.4787992e+10   2.0853058e+09   1.7910652e+09   6.7292691e+05   7.3805992e+15   2.9816622e+10   3.9698861e+09   6.4516684e+10   2.2815878e+10   3.9822662e+10   1.2422897e+07   3.5326389e+01   3.6605292e-03   3.9835673e-03   3.6605292e-05   3.9835673e-05
   3.5333333e+01   2.6945000e+02   2.6000000e+01   1.0209000e+03   5.5069200e+01   8.0000000e-03   6.8926225e+11   1.2652854e+11   1.3538503e+13   9.3918804e+10   5.1018947e+11   1.0027110e+11   2.3155000e+01   1.5456540e+09   2.7443263e+19   5.9177554e+10   7.8239919e+10   5.6605297e+10   2.3176933e+09   1.8276335e+09   5.5399715e+05   7.3809753e+15   3.1488949e+10   4.3190482e+09   6.3805661e+10   2.2154877e+10   3.8727968e+10   1.3492206e+07   3.5333333e+01   2.9453179e-03   3.2236322e-03   2.9453179e-05   3.2236322e-05
   3.5340278e+01   2.6956667e+02   2.5333333e+01   1.0210667e+03   8.6180667e+01   1.5833333e-02   6.9699349e+11   1.2340446e+11   1.3718513e+13   1.2260941e+11   5.2042953e+11   9.5838000e+10   2.3839700e+01   2.1343593e+09   2.7435864e+19   7.0652334e+10   7.9697481e+10   5.8610047e+10   2.8046541e+09   1.9060733e+09   4.6153982e+05   7.3859449e+15   3.5695705e+10   5.0675458e+09   5.8942451e+10   2.1503096e+10   4.0096871e+10   1.3839692e+07   3.5340278e+01   2.8852510e-03   3.1629684e-03   2.8852510e-05   3.1629684e-05
   3.5347222e+01   2.6968333e+02   2.4666667e+01   1.0212333e+03   1.1729213e+02   2.3666667e-02   7.0472063e+11   1.2028208e+11   1.3898427e+13   1.5128457e+11   5.3066412e+11   9.1407301e+10   2.4524400e+01   2.7227476e+09   2.7428471e+19   8.2120935e+10   8.1154264e+10   6.0613722e+10   3.2913526e+09   1.9844709e+09   3.6913237e+05   7.3909125e+15   3.9900197e+10   5.8156405e+09   5.4079241e+10   2.0851315e+10   4.1465775e+10   1.4186993e+07   3.5347222e+01   3.0840865e-03   3.3675708e-03   3.0840865e-05   3.3675708e-05
   3.5354167e+01   2.6980000e+02   2.4000000e+01   1.0214000e+03   1.4840360e+02   3.1500000e-02   7.1244367e+11   1.1716139e+11   1.4078246e+13   1.7994429e+11   5.4089325e+11   8.6978997e+10   2.5209100e+01   3.3108191e+09   2.7421085e+19   9.3583365e+10   8.2610270e+10   6.2616322e+10   3.7777892e+09   2.0628265e+09   2.7677473e+05   7.3958780e+15   4.4102428e+10   6.5633327e+09   4.9216032e+10   2.0199535e+10   4.2834678e+10   1.4534108e+07   3.5354167e+01   2.9943540e-03   3.2759985e-03   2.9943540e-05   3.2759985e-05
   3.5361111e+01   2.6991667e+02   2.3333333e+01   1.0215667e+03   1.7951507e+02   3.9333333e-02   7.2016261e+11   1.1404239e+11   1.4257969e+13   2.0858860e+11   5.5111691e+11   8.2553084e+10   2.5893800e+01   3.8985743e+09   2.7413705e+19   1.0503963e+11   8.4065499e+10   6.4617850e+10   4.2639643e+09   2.1411402e+09   1.8446683e+05   7.4008415e+15   4.8302401e+10   7.3106230e+09   5.0009722e+10   2.2059739e+10   4.2659697e+10   1.4881037e+07   3.5361111e+01   3.0429158e-03   3.3246650e-03   3.0429158e-05   3.3246650e-05
