#          Time_in_sec([])              CONDENS_SINK([])              CON_SIN_NITR([])
4.98000000000000000000e+04    1.00794484636487436546e+03    1.00869728238397397035e+03
5.01000000000000000000e+04    1.00856741668319773453e+03    1.00821776999710368727e+03
5.04000000000000000000e+04    1.00924702364979896174e+03    1.00776154127397080629e+03
5.07000000000000000000e+04    1.00998855899511329426e+03    1.00732848652274617507e+03
5.10000000000000000000e+04    1.01079719529207295636e+03    1.00691831562563663738e+03
5.13000000000000000000e+04    1.01167836673194017294e+03    1.00653058673090390585e+03
5.16000000000000000000e+04    1.01263774014760849695e+03    1.00616473308936372177e+03
5.19000000000000000000e+04    1.01368117467530498743e+03    1.00582008776836266861e+03
5.22000000000000000000e+04    1.01481466841555425162e+03    1.00549590608149162563e+03
5.25000000000000000000e+04    1.01604429048605322805e+03    1.00519138566226706644e+03
5.28000000000000000000e+04    1.01737609696942467963e+03    1.00490568418445468524e+03
5.31000000000000000000e+04    1.01881602946464624893e+03    1.00463793479112814566e+03
5.34000000000000000000e+04    1.02036979526845414057e+03    1.00438725933998978235e+03
5.37000000000000000000e+04    1.02204272865624989208e+03    1.00415277960531579993e+03
5.40000000000000000000e+04    1.02383963331113204731e+03    1.00393362659872400400e+03
5.43000000000000000000e+04    1.02576460666911111730e+03    1.00372894818348470380e+03
5.46000000000000000000e+04    1.02782084780503396360e+03    1.00353791516195667555e+03
5.49000000000000000000e+04    1.03001045146444766942e+03    1.00335972601450635011e+03
5.52000000000000000000e+04    1.03233419192749261128e+03    1.00319361046239248481e+03
5.55000000000000000000e+04    1.03479130153542746484e+03    1.00303883201783389723e+03
5.58000000000000000000e+04    1.03737924986949064987e+03    1.00289468967291202262e+03
5.61000000000000000000e+04    1.04009353068402492681e+03    1.00276051886599100271e+03
5.64000000000000000000e+04    1.04292746468942755200e+03    1.00263569185070855383e+03
5.67000000000000000000e+04    1.04587202707637425192e+03    1.00251961757885737825e+03
5.70000000000000000000e+04    1.04891570918866568718e+03    1.00241174119509355478e+03
5.73000000000000000000e+04    1.05204442390820054243e+03    1.00231154322866757411e+03
5.76000000000000000000e+04    1.05524146404096654805e+03    1.00221853855550443768e+03
5.79000000000000000000e+04    1.05848752223230530944e+03    1.00213227519307713465e+03
5.82000000000000000000e+04    1.06176077966000457309e+03    1.00205233298070038472e+03
5.85000000000000000000e+04    1.06503706895068194171e+03    1.00197832218912128610e+03
5.88000000000000000000e+04    1.06829011446692175014e+03    1.00190988209558497601e+03
5.91000000000000000000e+04    1.07149185038399878067e+03    1.00184667955385748428e+03
5.94000000000000000000e+04    1.07461281391578404509e+03    1.00178840758292005830e+03
5.97000000000000000000e+04    1.07762260779221560369e+03    1.00173478399314933540e+03
6.00000000000000000000e+04    1.08049042279534569388e+03    1.00168555006466090163e+03
6.03000000000000000000e+04    1.08318560800538080002e+03    1.00164046928906282119e+03
6.06000000000000000000e+04    1.08567827357776104691e+03    1.00159932618303957952e+03
6.09000000000000000000e+04    1.08793990854727985607e+03    1.00156192517990371016e+03
6.12000000000000000000e+04    1.08994399449764068777e+03    1.00152808960343770650e+03
6.15000000000000000000e+04    1.09166659507577037402e+03    1.00149766072693284968e+03
6.18000000000000000000e+04    1.09308690135905408169e+03    1.00147049691927168169e+03
6.21000000000000000000e+04    1.09418771403976461443e+03    1.00144647287913210221e+03
6.24000000000000000000e+04    1.09495584525849062629e+03    1.00142547895787993184e+03
6.27000000000000000000e+04    1.09538242562574555450e+03    1.00140742057141903842e+03
6.30000000000000000000e+04    1.09546310539386149685e+03    1.00139221770116307653e+03
6.33000000000000000000e+04    1.09519814271017457941e+03    1.00137980448433802394e+03
6.36000000000000000000e+04    1.09459237619326927415e+03    1.00137012889401330540e+03
6.39000000000000000000e+04    1.09365508350152617822e+03    1.00136315250957272838e+03
6.42000000000000000000e+04    1.09239973187606278771e+03    1.00135885037874777481e+03
6.45000000000000000000e+04    1.09084363061643853143e+03    1.00135721097285693304e+03
6.48000000000000000000e+04    1.08900749888885820837e+03    1.00135823623750218303e+03
6.51000000000000000000e+04    1.08691496501108008488e+03    1.00136194174167121673e+03
6.54000000000000000000e+04    1.08459201528951211912e+03    1.00136835692897977879e+03
6.57000000000000000000e+04    1.08206641153741475136e+03    1.00137752547566094563e+03
6.60000000000000000000e+04    1.07936709656785683364e+03    1.00138950576087393074e+03
6.63000000000000000000e+04    1.07652360627173561625e+03    1.00140437145596240498e+03
6.66000000000000000000e+04    1.07356550544672177239e+03    1.00142221224045317740e+03
6.69000000000000000000e+04    1.07052186246189353369e+03    1.00144313465384925621e+03
6.72000000000000000000e+04    1.06742077527662718239e+03    1.00146726309365362795e+03
6.75000000000000000000e+04    1.06428895844786325142e+03    1.00149474097155609797e+03
6.78000000000000000000e+04    1.06115139772726388401e+03    1.00152573204134250773e+03
6.81000000000000000000e+04    1.05803107583173118655e+03    1.00156042191384506168e+03
6.84000000000000000000e+04    1.05494877011238463638e+03    1.00159901977614822499e+03
6.87000000000000000000e+04    1.05192292026951349726e+03    1.00164176033429896506e+03
6.90000000000000000000e+04    1.04896956205561059505e+03    1.00168890600094357524e+03
6.93000000000000000000e+04    1.04610232113558663514e+03    1.00174074935161570465e+03
6.96000000000000000000e+04    1.04333245996140453826e+03    1.00179761587582163429e+03
6.99000000000000000000e+04    1.04066896966770241306e+03    1.00185986705158416044e+03
7.02000000000000000000e+04    1.03811869858060595107e+03    1.00192790377468645602e+03
7.05000000000000000000e+04    1.03568650890932349284e+03    1.00200217017645036321e+03
7.08000000000000000000e+04    1.03337545350082928053e+03    1.00208315786642538114e+03
7.11000000000000000000e+04    1.03118696511516395731e+03    1.00217141063877011220e+03
7.14000000000000000000e+04    1.02912105145304008147e+03    1.00226752968325615711e+03
7.17000000000000000000e+04    1.02717649007072031964e+03    1.00237217934357056492e+03
7.20000000000000000000e+04    1.02535101828692199888e+03    1.00248609346674300014e+03
7.23000000000000000000e+04    1.02364151416852280363e+03    1.00261008238784290825e+03
7.26000000000000000000e+04    1.02204416563118388694e+03    1.00274504059328478434e+03
7.29000000000000000000e+04    1.02055462557322152861e+03    1.00289195510377953724e+03
7.32000000000000000000e+04    1.01916815175182398434e+03    1.00305191461375386552e+03
7.35000000000000000000e+04    1.01787973079507037255e+03    1.00322611941738750829e+03
7.38000000000000000000e+04    1.01668418631452141199e+03    1.00341589214169846400e+03
7.41000000000000000000e+04    1.01557627154148474347e+03    1.00362268929360971015e+03
7.44000000000000000000e+04    1.01455074726086718329e+03    1.00384811360984690509e+03
7.47000000000000000000e+04    1.01360244606892388219e+03    1.00409392717493369673e+03
7.50000000000000000000e+04    1.01272632414688098379e+03    1.00436206524245085348e+03
7.53000000000000000000e+04    1.01191750183416206710e+03    1.00465465065702471747e+03
7.56000000000000000000e+04    1.01117129431593923528e+03    1.00497400872808111671e+03
7.59000000000000000000e+04    1.01048323372267941522e+03    1.00532268235010337776e+03
7.62000000000000000000e+04    1.00984908388596693385e+03    1.00570344709690982654e+03
7.65000000000000000000e+04    1.00926484891560403412e+03    1.00611932593839605943e+03
7.68000000000000000000e+04    1.00872677666674337615e+03    1.00657360313663468787e+03
7.71000000000000000000e+04    1.00823135806004574988e+03    1.00706983677395476207e+03
7.74000000000000000000e+04    1.00777532310850517661e+03    1.00761186924899493533e+03
7.77000000000000000000e+04    1.00735563439624013427e+03    1.00820383494890359088e+03
7.80000000000000000000e+04    1.00696947865059837568e+03    1.00885016416899134128e+03
7.83000000000000000000e+04    1.00661425695168179573e+03    1.00955558220872046604e+03
7.86000000000000000000e+04    1.00628757403437623452e+03    1.01032510242986518278e+03
7.89000000000000000000e+04    1.00598722705793340992e+03    1.01116401192573914614e+03
7.92000000000000000000e+04    1.00571119414737086117e+03    1.01207784832822494536e+03
7.95000000000000000000e+04    1.00545762294927953917e+03    1.01307236618264141725e+03
7.98000000000000000000e+04    1.00522481939163435527e+03    1.01415349126201226682e+03
8.01000000000000000000e+04    1.00501123679227691810e+03    1.01532726118663492798e+03
8.04000000000000000000e+04    1.00481546542316459636e+03    1.01659975077808758215e+03
8.07000000000000000000e+04    1.00463622260647412077e+03    1.01797698072581374618e+03
8.10000000000000000000e+04    1.00447234339344197451e+03    1.01946480839601827029e+03
8.13000000000000000000e+04    1.00432277185665338948e+03    1.02106879998224360406e+03
8.16000000000000000000e+04    1.00418655301065632557e+03    1.02279408369722034422e+03
8.19000000000000000000e+04    1.00406282536361732127e+03    1.02464518434445244566e+03
8.22000000000000000000e+04    1.00395081409368208369e+03    1.02662584038680120102e+03
8.25000000000000000000e+04    1.00384982483722603774e+03    1.02873880554102265705e+03
8.28000000000000000000e+04    1.00375923807184324232e+03    1.03098563795428572121e+03
8.31000000000000000000e+04    1.00367850407433888904e+03    1.03336648113192813980e+03
8.34000000000000000000e+04    1.00360713843283213009e+03    1.03587984194319733433e+03
8.37000000000000000000e+04    1.00354471809209132971e+03    1.03852237217896754373e+03
8.40000000000000000000e+04    1.00349087791216766163e+03    1.04128866120636803316e+03
8.43000000000000000000e+04    1.00344530772211601288e+03    1.04417104818444113334e+03
8.46000000000000000000e+04    1.00340774985293876398e+03    1.04715946299144434306e+03
8.49000000000000000000e+04    1.00337799713675519797e+03    1.05024130538619465369e+03
8.52000000000000000000e+04    1.00335589136252644948e+03    1.05340137190609789286e+03
8.55000000000000000000e+04    1.00334132218238050882e+03    1.05662183952814802979e+03
8.58000000000000000000e+04    1.00333422646667474964e+03    1.05988231413951734794e+03
8.61000000000000000000e+04    1.00333458811038690328e+03    1.06315995036004778740e+03
8.64000000000000000000e+04    1.00334243829824936256e+03    1.06642964723910836256e+03
8.67000000000000000000e+04    1.00335785624125969662e+03    1.06966432185759754248e+03
8.70000000000000000000e+04    1.00338097040285322237e+03    1.07283525998189384154e+03
8.73000000000000000000e+04    1.00341196023915620117e+03    1.07591253975488189099e+03
8.76000000000000000000e+04    1.00345105848441733087e+03    1.07886552111487458205e+03
8.79000000000000000000e+04    1.00349855402001242055e+03    1.08166339037502007159e+03
8.82000000000000000000e+04    1.00355479537341352625e+03    1.08427574635633050093e+03
8.85000000000000000000e+04    1.00362019490230579777e+03    1.08667321183142144037e+03
8.88000000000000000000e+04    1.00369523372872242817e+03    1.08882805197754260007e+03
8.91000000000000000000e+04    1.00378046749875466048e+03    1.09071478020676477172e+03
8.94000000000000000000e+04    1.00387653305520268532e+03    1.09231073125284524394e+03
8.97000000000000000000e+04    1.00398415612356927795e+03    1.09359658181714007696e+03
9.00000000000000000000e+04    1.00410416012618350123e+03    1.09455680042616472747e+03
