              c_acid              c_base          J_ACDC_NH3               c_dma          J_ACDC_DMA
           5.000E+13           5.124E+08           9.895E-07           3.953-323           1.346-316
           5.000E+13           4.974E+08           9.895E-07           3.953-323           1.346-316
           5.000E+13           4.846E+08           9.895E-07           3.953-323           1.346-316
           5.000E+13           4.738E+08           9.895E-07           3.953-323           1.346-316
           5.000E+13           4.645E+08           9.895E-07           3.953-323           1.346-316
           5.000E+13           4.565E+08           9.895E-07           3.953-323           1.346-316
           5.000E+13           4.497E+08           9.895E-07           3.953-323           1.346-316
           5.000E+13           4.438E+08           9.895E-07           3.953-323           1.346-316
           5.000E+13           4.386E+08           9.895E-07           3.953-323           1.346-316
           5.000E+13           4.342E+08           9.895E-07           3.953-323           1.346-316
           5.000E+13           4.304E+08           9.895E-07           3.953-323           1.346-316
           5.000E+13           4.271E+08           9.895E-07           3.953-323           1.346-316
           5.000E+13           4.241E+08           9.895E-07           3.953-323           1.346-316
           5.000E+13           4.216E+08           9.895E-07           3.953-323           1.346-316
           5.000E+13           4.193E+08           9.895E-07           3.953-323           1.346-316
           5.000E+13           4.174E+08           9.895E-07           3.953-323           1.346-316
           5.000E+13           4.156E+08           9.895E-07           3.953-323           1.346-316
           5.000E+13           4.141E+08           9.895E-07           3.953-323           1.346-316
           5.000E+13           4.128E+08           9.895E-07           3.953-323           1.346-316
           5.000E+13           4.116E+08           9.895E-07           3.953-323           1.346-316
           5.000E+13           4.105E+08           9.895E-07           3.953-323           1.346-316
           5.000E+13           4.095E+08           9.895E-07           3.953-323           1.346-316
           5.000E+13           4.087E+08           9.895E-07           3.953-323           1.346-316
           5.000E+13           4.079E+08           9.895E-07           3.953-323           1.346-316
           5.000E+13           4.073E+08           9.895E-07           3.953-323           1.346-316
           5.000E+13           4.066E+08           9.895E-07           3.953-323           1.346-316
           5.000E+13           4.061E+08           9.895E-07           3.953-323           1.346-316
           5.000E+13           4.056E+08           9.895E-07           3.953-323           1.346-316
           5.000E+13           4.052E+08           9.895E-07           3.953-323           1.346-316
           5.000E+13           4.048E+08           9.895E-07           3.953-323           1.346-316
           5.000E+13           4.044E+08           9.895E-07           3.953-323           1.346-316
           5.000E+13           4.040E+08           9.895E-07           3.953-323           1.346-316
           5.000E+13           4.037E+08           9.895E-07           3.953-323           1.346-316
           5.000E+13           4.035E+08           9.895E-07           3.953-323           1.346-316
           5.000E+13           4.032E+08           9.895E-07           3.953-323           1.346-316
           5.000E+13           4.030E+08           9.895E-07           3.953-323           1.346-316
           5.000E+13           4.028E+08           9.895E-07           3.953-323           1.346-316
           5.000E+13           4.026E+08           9.895E-07           3.953-323           1.346-316
           5.000E+13           4.024E+08           9.895E-07           3.953-323           1.346-316
           5.000E+13           4.022E+08           9.895E-07           3.953-323           1.346-316
           5.000E+13           4.021E+08           9.895E-07           3.953-323           1.346-316
           5.000E+13           4.020E+08           9.895E-07           3.953-323           1.346-316
           5.000E+13           4.018E+08           9.895E-07           3.953-323           1.346-316
           5.000E+13           4.017E+08           9.895E-07           3.953-323           1.346-316
           5.000E+13           4.016E+08           9.895E-07           3.953-323           1.346-316
           5.000E+13           4.015E+08           9.895E-07           3.953-323           1.346-316
           5.000E+13           4.014E+08           9.895E-07           3.953-323           1.346-316
           5.000E+13           4.013E+08           9.895E-07           3.953-323           1.346-316
           5.000E+13           4.012E+08           9.895E-07           3.953-323           1.346-316
           5.000E+13           4.012E+08           9.895E-07           3.953-323           1.346-316
           5.000E+13           4.011E+08           9.895E-07           3.953-323           1.346-316
           5.000E+13           4.010E+08           9.895E-07           3.953-323           1.346-316
           5.000E+13           4.010E+08           9.895E-07           3.953-323           1.346-316
           5.000E+13           4.009E+08           9.895E-07           3.953-323           1.346-316
           5.000E+13           4.008E+08           9.895E-07           3.953-323           1.346-316
           5.000E+13           4.008E+08           9.895E-07           3.953-323           1.346-316
           5.000E+13           4.008E+08           9.895E-07           3.953-323           1.346-316
           5.000E+13           4.007E+08           9.895E-07           3.953-323           1.346-316
           5.000E+13           4.007E+08           9.895E-07           3.953-323           1.346-316
           5.000E+13           4.006E+08           9.895E-07           3.953-323           1.346-316
           5.000E+13           4.006E+08           9.895E-07           3.953-323           1.346-316
           5.000E+13           4.006E+08           9.895E-07           3.953-323           1.346-316
           5.000E+13           4.005E+08           9.895E-07           3.953-323           1.346-316
           5.000E+13           4.005E+08           9.895E-07           3.953-323           1.346-316
           5.000E+13           4.005E+08           9.895E-07           3.953-323           1.346-316
           5.000E+13           4.004E+08           9.895E-07           3.953-323           1.346-316
           5.000E+13           4.004E+08           9.895E-07           3.953-323           1.346-316
           5.000E+13           4.004E+08           9.895E-07           3.953-323           1.346-316
           5.000E+13           4.004E+08           9.895E-07           3.953-323           1.346-316
           5.000E+13           4.004E+08           9.895E-07           3.953-323           1.346-316
           5.000E+13           4.003E+08           9.895E-07           3.953-323           1.346-316
           5.000E+13           4.003E+08           9.895E-07           3.953-323           1.346-316
           5.000E+13           4.003E+08           9.895E-07           3.953-323           1.346-316
           5.000E+13           4.003E+08           9.895E-07           3.953-323           1.346-316
           5.000E+13           4.003E+08           9.895E-07           3.953-323           1.346-316
           5.000E+13           4.003E+08           9.895E-07           3.953-323           1.346-316
           5.000E+13           4.002E+08           9.895E-07           3.953-323           1.346-316
           5.000E+13           4.002E+08           9.895E-07           3.953-323           1.346-316
           5.000E+13           4.002E+08           9.895E-07           3.953-323           1.346-316
           5.000E+13           4.002E+08           9.895E-07           3.953-323           1.346-316
           5.000E+13           4.002E+08           9.895E-07           3.953-323           1.346-316
           5.000E+13           4.002E+08           9.895E-07           3.953-323           1.346-316
           5.000E+13           4.002E+08           9.895E-07           3.953-323           1.346-316
