      0.20     10.00      2.00      0.00        170.249       1.31e-09       3.80e+10
      0.56      9.00      5.00      0.00        202.204       2.36e-10       6.84e+09
      1.75      4.00      7.00      1.00        179.085       3.60e-09       1.04e+11
      1.00      4.00      4.00      0.00        118.088       3.12e-09       9.04e+10
      0.44      9.00      4.00      0.00        186.205       1.28e-12       3.70e+07
      1.00      5.00      5.00      0.00        148.114       4.56e-12       1.32e+08
      0.71      7.00      5.00      0.00        174.151       3.06e-11       8.86e+08
      1.50      4.00      6.00      1.00        165.101       9.18e-08       2.66e+12
      0.21     14.00      3.00      0.00        238.323       6.11e-11       1.77e+09
      0.50      8.00      4.00      0.00        174.194       3.60e-10       1.04e+10
      0.20     10.00      2.00      0.00        170.249       1.16e-08       3.37e+11
      0.38     13.00      5.00      0.00        257.303       4.22e-10       1.22e+10
      0.62      8.00      5.00      0.00        189.186       2.11e-09       6.12e+10
      0.57      7.00      4.00      0.00        158.152       3.66e-10       1.06e+10
      0.78      9.00      7.00      1.00        245.186       6.22e-10       1.80e+10
      1.20      5.00      6.00      1.00        180.136       1.02e-09       2.97e+10
      0.29      7.00      2.00      0.00        128.169       6.40e-08       1.86e+12
      1.50      4.00      6.00      1.00        165.101       6.77e-12       1.96e+08
      0.36     14.00      5.00      0.00        269.313       3.60e-08       1.04e+12
      0.50      8.00      4.00      0.00        174.194       3.63e-11       1.05e+09
      1.14      7.00      8.00      1.00        232.124       8.00e-09       2.32e+11
      1.17      6.00      7.00      1.00        205.122       1.16e-08       3.35e+11
      0.36     11.00      4.00      0.00        214.258       1.43e-09       4.15e+10
      0.50      8.00      4.00      0.00        174.194       6.21e-14       1.80e+06
      0.60      5.00      3.00      0.00        116.115       1.96e-09       5.68e+10
      0.46     13.00      6.00      0.00        272.294       1.28e-17       3.71e+02
      0.31     13.00      4.00      0.00        241.303       3.66e-11       1.06e+09
      0.17     12.00      2.00      0.00        196.286       5.07e-09       1.47e+11
      0.30     10.00      3.00      0.00        182.216       5.86e-08       1.70e+12
      0.31     13.00      4.00      0.00        242.311       8.70e-14       2.52e+06
      0.23     13.00      3.00      0.00        224.296       2.25e-11       6.54e+08
      0.50      8.00      4.00      0.00        173.186       3.95e-08       1.15e+12
      0.33     12.00      4.00      0.00        226.269       6.42e-09       1.86e+11
      0.30     10.00      3.00      0.00        186.248       3.52e-10       1.02e+10
      0.43      7.00      3.00      0.00        144.168       4.49e-10       1.30e+10
      1.14      7.00      8.00      1.00        233.132       1.43e-10       4.15e+09
      0.83      6.00      5.00      0.00        161.133       1.78e-10       5.17e+09
      0.30     10.00      3.00      0.00        182.216       2.13e-08       6.18e+11
      0.40     10.00      4.00      0.00        200.232       1.70e-10       4.94e+09
      0.56      9.00      5.00      0.00        202.204       5.89e-12       1.71e+08
      0.23     13.00      3.00      0.00        225.304       3.34e-09       9.68e+10
      1.40      5.00      7.00      1.00        197.143       2.24e-15       6.51e+04
      1.25      4.00      5.00      0.00        134.087       1.22e-11       3.55e+08
      0.44      9.00      4.00      1.00        199.204       3.13e-08       9.07e+11
      0.50      8.00      4.00      0.00        174.194       5.15e-12       1.49e+08
      0.83      6.00      5.00      0.00        160.125       1.23e-08       3.56e+11
      0.57      7.00      4.00      0.00        158.152       1.35e-09       3.91e+10
      1.40      5.00      7.00      1.00        195.127       3.18e-13       9.23e+06
      1.60      5.00      8.00      2.00        224.126       6.49e-12       1.88e+08
      0.23     13.00      3.00      0.00        225.304       1.19e-09       3.44e+10
      0.50      8.00      4.00      0.00        173.186       3.88e-08       1.13e+12
      0.67      9.00      6.00      0.00        216.188       6.06e-12       1.76e+08
      0.30     10.00      3.00      0.00        186.248       8.77e-08       2.54e+12
      0.38      8.00      3.00      0.00        156.179       9.21e-09       2.67e+11
      1.50      4.00      6.00      1.00        165.101       7.21e-08       2.09e+12
      0.44      9.00      4.00      0.00        186.205       1.05e-08       3.03e+11
      0.71      7.00      5.00      0.00        178.183       4.10e-15       1.19e+05
      1.40      5.00      7.00      0.00        182.043       6.94e-17       2.01e+03
      1.33      3.00      4.00      0.00        106.077       9.43e-08       2.74e+12
      0.21     14.00      3.00      0.00        238.323       4.36e-10       1.26e+10
      1.00      5.00      5.00      0.00        149.122       2.46e-09       7.13e+10
      0.38     13.00      5.00      0.00        257.303       5.11e-12       1.48e+08
      0.80      5.00      4.00      0.00        132.115       1.61e-08       4.67e+11
      0.42     12.00      5.00      0.00        244.284       4.20e-16       1.22e+04
      0.80      5.00      4.00      0.00        134.131       4.70e-10       1.36e+10
      1.20      5.00      6.00      1.00        180.136       1.02e-09       2.97e+10
      0.44      9.00      4.00      0.00        186.205       6.11e-11       1.77e+09
      0.40     15.00      6.00      0.00        302.363       1.04e-14       3.02e+05
      0.67      6.00      4.00      0.00        144.125       6.66e-09       1.93e+11
      0.67      6.00      4.00      0.00        148.157       4.14e-12       1.20e+08
      0.33     12.00      4.00      0.00        228.285       4.29e-12       1.24e+08
      1.25      4.00      5.00      0.00        136.103       2.57e-14       7.44e+05
      0.80      5.00      4.00      0.00        132.115       1.61e-08       4.67e+11
      1.00      5.00      5.00      0.00        146.098       2.95e-09       8.57e+10
      1.40      5.00      7.00      1.00        197.143       9.59e-18       2.78e+02
      1.60      5.00      8.00      1.00        212.135       8.83e-13       2.56e+07
      0.44      9.00      4.00      0.00        186.205       2.14e-10       6.21e+09
      1.60      5.00      8.00      1.00        211.127       1.02e-17       2.96e+02
      0.83      6.00      5.00      0.00        163.149       4.85e-08       1.41e+12
      0.80      5.00      4.00      0.00        130.099       1.49e-08       4.33e+11
      0.60     10.00      6.00      1.00        244.221       2.34e-09       6.78e+10
      0.44      9.00      4.00      0.00        186.205       2.11e-12       6.13e+07
      1.40      5.00      7.00      1.00        193.112       7.17e-09       2.08e+11
      1.00      5.00      5.00      0.00        148.114       1.51e-11       4.37e+08
      0.36     14.00      5.00      0.00        270.322       1.94e-14       5.63e+05
      0.46     13.00      6.00      0.00        271.286       3.63e-09       1.05e+11
      0.47     15.00      7.00      1.00        331.361       1.30e-11       3.78e+08
      1.25      4.00      5.00      0.00        136.103       2.34e-14       6.80e+05
      0.58     12.00      7.00      0.00        276.283       3.16e-22       9.17e-03
      1.25      4.00      5.00      0.00        134.087       2.35e-08       6.82e+11
      0.50     10.00      5.00      0.00        216.231       2.44e-12       7.08e+07
      1.80      5.00      9.00      2.00        240.125       5.34e-16       1.55e+04
      0.71      7.00      5.00      0.00        174.151       2.11e-09       6.12e+10
      2.00      4.00      8.00      1.00        195.084       9.73e-12       2.82e+08
      0.80      5.00      4.00      0.00        134.131       4.44e-12       1.29e+08
      1.20      5.00      6.00      0.00        162.097       2.53e-08       7.34e+11
