#                     time          SMEAR_TEMP_168.dat                SMEAR_RH.dat                SMEAR_CS.dat             SMEAR_PRESS.dat               SA_ground.dat                     NH3.dat               All_J.dat.csv
9.13333333333300032564e+01  -5.15997601918499970708e+00  5.30703021582700031900e+01  1.06857087301600005291e-02  9.90749976019199948496e+02  5.60453624212300055660e+05  4.35221095650800027244e+00  3.73899082443492980846e-03
9.13402777777800025660e+01  -4.95997761790500035772e+00  5.35599616306899974916e+01  1.11365156084699996886e-02  9.90809968025600028341e+02  6.74806374786900007166e+05  2.00000000000000000000e+00  4.53215929442579018582e-03
9.13472222222199974340e+01  -4.57997442046300040630e+00  5.23601087130300015815e+01  1.15873224867699999019e-02  9.90700022382099973584e+02  7.89159125213099992834e+05  2.00000000000000000000e+00  1.10415856412743994958e-02
9.13541666666699967436e+01  -4.38997601918500013340e+00  5.16799999999999997158e+01  1.19956356349199995404e-02  9.90730023980799956007e+02  9.03511876347600016743e+05  2.52340473657999986301e+00  9.99999999999999954748e-07
9.13611111111100058224e+01  -4.20999680255799990647e+00  5.17499808153499998298e+01  1.06758704232800000905e-02  9.90870000000000004547e+02  1.14465233423199993558e+06  3.22419299818899984800e+00  6.48333267757624995276e-03
9.13680555555600051321e+01  -3.69006394884000021861e+00  5.19900191846500021597e+01  9.35610521164000064065e-03  9.91000019184700022379e+02  1.38579279211600008421e+06  3.92498125979700018817e+00  7.57543436764747044054e-04
9.13750000000000000000e+01  -3.41000000000000014211e+00  5.19200000000000017053e+01  8.03633999999999945607e-03  9.91179999999999949978e+02  1.62693325000000000000e+06  4.62576952140600017316e+00  6.42053855695593964081e-03
9.13819444444399948679e+01  -2.99998721023200021207e+00  4.99097761790600031873e+01  7.48373087301599983906e-03  9.91199955235799961883e+02  1.96617508270099991933e+06  5.32655778301399962515e+00  1.06037128725853004030e-02
9.13888888888899941776e+01  -2.46998241406700014267e+00  4.85200207833799979085e+01  6.93112174603200022205e-03  9.91389990407699997377e+02  2.30541691540300007910e+06  6.52356421928999985482e+00  7.75288360421740995604e-03
9.13958333333300032564e+01  -1.74995683453200001622e+00  4.79900335731400033978e+01  6.37851261904799973768e-03  9.91420081534800033296e+02  2.64465874810399999842e+06  7.91186323167100002962e+00  8.18799777327862063347e-03
